id,category,name,protein,fat,carbs,kcal
grechka-suhaya,Крупы сухие,Гречка (сухая),12.6,3.3,62.1,313
ris-belyj-suhoj,Крупы сухие,Рис белый (сухой),6.7,0.7,78.9,344
ris-buryj-suhoj,Крупы сухие,Рис бурый (сухой),7.4,1.8,72.9,331
ris-zhasmin-suhoj,Крупы сухие,Рис жасмин (сухой),7.1,0.7,79.0,356
ovsyanye-hlopya,Крупы сухие,Овсяные хлопья (сухие),12.3,6.2,61.8,352
perlovka-suhaya,Крупы сухие,Перловка (сухая),9.3,1.1,73.7,320
psheno-suhoe,Крупы сухие,Пшено (сухое),11.5,3.3,66.5,342
bulgur-suhoj,Крупы сухие,Булгур (сухой),12.3,1.3,57.6,342
kinoa-suhaya,Крупы сухие,Киноа (сухая),14.1,6.1,57.2,368
kuskus-suhoj,Крупы сухие,Кускус (сухой),12.8,0.6,72.4,376
manka-suhaya,Крупы сухие,Манная крупа (сухая),10.3,1.0,70.6,333
kukuruznaya-krupa-suhaya,Крупы сухие,Кукурузная крупа (сухая),8.3,1.2,71.0,328
yachnevaya-krupa-suhaya,Крупы сухие,Ячневая крупа (сухая),10.0,1.3,65.4,313
chechevica-krasnaya-suhaya,Бобовые,Чечевица красная (сухая),24.0,1.5,48.0,314
chechevica-zelenaya-suhaya,Бобовые,Чечевица зелёная (сухая),24.0,1.5,42.7,295
nut-suhoj,Бобовые,Нут (сухой),19.3,6.0,61.0,364
fasol-belaya-suhaya,Бобовые,Фасоль белая (сухая),21.0,2.0,47.0,298
fasol-krasnaya-suhaya,Бобовые,Фасоль красная (сухая),22.5,1.1,45.0,292
goroh-suhoj,Бобовые,Горох колотый (сухой),20.5,2.0,49.5,298
mash-suhoj,Бобовые,Маш (сухой),23.5,2.0,46.0,300
makarony-suhie,Макароны и лапша,Макароны из твёрдых сортов (сухие),12.0,1.3,71.0,344
lapsha-risovaya-suhaya,Макароны и лапша,Лапша рисовая (сухая),6.0,0.6,83.0,364
lapsha-soba-suhaya,Макароны и лапша,Лапша гречневая соба (сухая),14.4,0.7,71.0,336
lapsha-yaichnaya-suhaya,Макароны и лапша,Лапша яичная (сухая),14.2,4.4,71.0,384
lapsha-bystrogo-prigotovleniya,Макароны и лапша,Лапша быстрого приготовления (сухая),10.2,17.6,55.7,436
risovaya-bumaga,Макароны и лапша,Рисовая бумага (сухая),3.5,0.2,81.0,340
grechka-varenaya,Крупы готовые,Гречка варёная,4.2,1.1,21.3,110
ris-belyj-varenyj,Крупы готовые,Рис белый варёный,2.7,0.3,28.2,130
ris-buryj-varenyj,Крупы готовые,Рис бурый варёный,2.6,0.9,21.7,112
ris-zhasmin-varenyj,Крупы готовые,Рис жасмин варёный,2.9,0.4,28.0,129
ovsyanka-na-vode,Крупы готовые,Овсяная каша на воде,3.0,1.7,15.0,88
ovsyanka-na-moloke,Крупы готовые,Овсяная каша на молоке,3.2,4.1,14.2,102
perlovka-varenaya,Крупы готовые,Перловка варёная,3.1,0.4,22.2,109
pshennaya-kasha-na-vode,Крупы готовые,Пшённая каша на воде,3.0,0.7,17.0,90
bulgur-varenyj,Крупы готовые,Булгур варёный,3.1,0.2,14.1,83
kinoa-varenaya,Крупы готовые,Киноа варёная,4.4,1.9,18.5,120
kuskus-varenyj,Крупы готовые,Кускус варёный,3.8,0.2,21.8,112
mannaya-kasha-na-moloke,Крупы готовые,Манная каша на молоке,3.0,3.2,15.3,98
chechevica-varenaya,Бобовые,Чечевица варёная,9.0,0.4,20.1,116
nut-varenyj,Бобовые,Нут варёный,8.9,2.6,27.4,164
fasol-krasnaya-varenaya,Бобовые,Фасоль красная варёная,8.7,0.5,22.8,127
makarony-varenye,Макароны и лапша,Макароны варёные,5.8,0.9,30.9,158
